table,record_id,column,rule,severity,details,severity_rank
customers,C100133,customer_id,unique,high,duplicate customer_id,3
customers,C102837,customer_id,unique,high,duplicate customer_id,3
customers,C104333,customer_id,unique,high,duplicate customer_id,3
customers,C101750,customer_id,unique,high,duplicate customer_id,3
customers,C101812,customer_id,unique,high,duplicate customer_id,3
customers,C102264,customer_id,unique,high,duplicate customer_id,3
customers,C101934,customer_id,unique,high,duplicate customer_id,3
customers,C101934,customer_id,unique,high,duplicate customer_id,3
customers,C100964,customer_id,unique,high,duplicate customer_id,3
customers,C101983,customer_id,unique,high,duplicate customer_id,3
customers,C102412,customer_id,unique,high,duplicate customer_id,3
customers,C102016,customer_id,unique,high,duplicate customer_id,3
customers,C102044,customer_id,unique,high,duplicate customer_id,3
customers,C104507,customer_id,unique,high,duplicate customer_id,3
customers,C102132,customer_id,unique,high,duplicate customer_id,3
customers,C102137,customer_id,unique,high,duplicate customer_id,3
customers,C100066,customer_id,unique,high,duplicate customer_id,3
customers,C102227,customer_id,unique,high,duplicate customer_id,3
customers,C101205,customer_id,unique,high,duplicate customer_id,3
customers,C102264,customer_id,unique,high,duplicate customer_id,3
customers,C102278,customer_id,unique,high,duplicate customer_id,3
customers,C102311,customer_id,unique,high,duplicate customer_id,3
customers,C103292,customer_id,unique,high,duplicate customer_id,3
customers,C100507,customer_id,unique,high,duplicate customer_id,3
customers,C101025,customer_id,unique,high,duplicate customer_id,3
customers,C102403,customer_id,unique,high,duplicate customer_id,3
customers,C102412,customer_id,unique,high,duplicate customer_id,3
customers,C102421,customer_id,unique,high,duplicate customer_id,3
customers,C101211,customer_id,unique,high,duplicate customer_id,3
customers,C102449,customer_id,unique,high,duplicate customer_id,3
customers,C102227,customer_id,unique,high,duplicate customer_id,3
customers,C103069,customer_id,unique,high,duplicate customer_id,3
customers,C103251,customer_id,unique,high,duplicate customer_id,3
customers,C101750,customer_id,unique,high,duplicate customer_id,3
customers,C101217,customer_id,unique,high,duplicate customer_id,3
customers,C104771,customer_id,unique,high,duplicate customer_id,3
customers,C102677,customer_id,unique,high,duplicate customer_id,3
customers,C103124,customer_id,unique,high,duplicate customer_id,3
customers,C102702,customer_id,unique,high,duplicate customer_id,3
customers,C102311,customer_id,unique,high,duplicate customer_id,3
customers,C104595,customer_id,unique,high,duplicate customer_id,3
customers,C102923,customer_id,unique,high,duplicate customer_id,3
customers,C101812,customer_id,unique,high,duplicate customer_id,3
customers,C103437,customer_id,unique,high,duplicate customer_id,3
customers,C102826,customer_id,unique,high,duplicate customer_id,3
customers,C102827,customer_id,unique,high,duplicate customer_id,3
customers,C102837,customer_id,unique,high,duplicate customer_id,3
customers,C102856,customer_id,unique,high,duplicate customer_id,3
customers,C102449,customer_id,unique,high,duplicate customer_id,3
customers,C102923,customer_id,unique,high,duplicate customer_id,3
customers,C102950,customer_id,unique,high,duplicate customer_id,3
customers,C104165,customer_id,unique,high,duplicate customer_id,3
customers,C102827,customer_id,unique,high,duplicate customer_id,3
customers,C100308,customer_id,unique,high,duplicate customer_id,3
customers,C103999,customer_id,unique,high,duplicate customer_id,3
customers,C101022,customer_id,unique,high,duplicate customer_id,3
customers,C103069,customer_id,unique,high,duplicate customer_id,3
customers,C103808,customer_id,unique,high,duplicate customer_id,3
customers,C100583,customer_id,unique,high,duplicate customer_id,3
customers,C103124,customer_id,unique,high,duplicate customer_id,3
customers,C102826,customer_id,unique,high,duplicate customer_id,3
customers,C103918,customer_id,unique,high,duplicate customer_id,3
customers,C100451,customer_id,unique,high,duplicate customer_id,3
customers,C101611,customer_id,unique,high,duplicate customer_id,3
customers,C100921,customer_id,unique,high,duplicate customer_id,3
customers,C103251,customer_id,unique,high,duplicate customer_id,3
customers,C100737,customer_id,unique,high,duplicate customer_id,3
customers,C102016,customer_id,unique,high,duplicate customer_id,3
customers,C103292,customer_id,unique,high,duplicate customer_id,3
customers,C103406,customer_id,unique,high,duplicate customer_id,3
customers,C104479,customer_id,unique,high,duplicate customer_id,3
customers,C103437,customer_id,unique,high,duplicate customer_id,3
customers,C104277,customer_id,unique,high,duplicate customer_id,3
customers,C102677,customer_id,unique,high,duplicate customer_id,3
customers,C103538,customer_id,unique,high,duplicate customer_id,3
customers,C103625,customer_id,unique,high,duplicate customer_id,3
customers,C100521,customer_id,unique,high,duplicate customer_id,3
customers,C103635,customer_id,unique,high,duplicate customer_id,3
customers,C103639,customer_id,unique,high,duplicate customer_id,3
customers,C102403,customer_id,unique,high,duplicate customer_id,3
customers,C103688,customer_id,unique,high,duplicate customer_id,3
customers,C100088,customer_id,unique,high,duplicate customer_id,3
customers,C104399,customer_id,unique,high,duplicate customer_id,3
customers,C102278,customer_id,unique,high,duplicate customer_id,3
customers,C103808,customer_id,unique,high,duplicate customer_id,3
customers,C104412,customer_id,unique,high,duplicate customer_id,3
customers,C102132,customer_id,unique,high,duplicate customer_id,3
customers,C103874,customer_id,unique,high,duplicate customer_id,3
customers,C103918,customer_id,unique,high,duplicate customer_id,3
customers,C103927,customer_id,unique,high,duplicate customer_id,3
customers,C103929,customer_id,unique,high,duplicate customer_id,3
customers,C103951,customer_id,unique,high,duplicate customer_id,3
customers,C100899,customer_id,unique,high,duplicate customer_id,3
customers,C103999,customer_id,unique,high,duplicate customer_id,3
customers,C104917,customer_id,unique,high,duplicate customer_id,3
customers,C104135,customer_id,unique,high,duplicate customer_id,3
customers,C104135,customer_id,unique,high,duplicate customer_id,3
customers,C104165,customer_id,unique,high,duplicate customer_id,3
customers,C104197,customer_id,unique,high,duplicate customer_id,3
customers,C104238,customer_id,unique,high,duplicate customer_id,3
customers,C104245,customer_id,unique,high,duplicate customer_id,3
customers,C102421,customer_id,unique,high,duplicate customer_id,3
customers,C104277,customer_id,unique,high,duplicate customer_id,3
customers,C104333,customer_id,unique,high,duplicate customer_id,3
customers,C101151,customer_id,unique,high,duplicate customer_id,3
customers,C101388,customer_id,unique,high,duplicate customer_id,3
customers,C101522,customer_id,unique,high,duplicate customer_id,3
customers,C102044,customer_id,unique,high,duplicate customer_id,3
customers,C104399,customer_id,unique,high,duplicate customer_id,3
customers,C100978,customer_id,unique,high,duplicate customer_id,3
customers,C104412,customer_id,unique,high,duplicate customer_id,3
customers,C104446,customer_id,unique,high,duplicate customer_id,3
customers,C104464,customer_id,unique,high,duplicate customer_id,3
customers,C104479,customer_id,unique,high,duplicate customer_id,3
customers,C104507,customer_id,unique,high,duplicate customer_id,3
customers,C104595,customer_id,unique,high,duplicate customer_id,3
customers,C103874,customer_id,unique,high,duplicate customer_id,3
customers,C104771,customer_id,unique,high,duplicate customer_id,3
customers,C102702,customer_id,unique,high,duplicate customer_id,3
customers,C104917,customer_id,unique,high,duplicate customer_id,3
customers,C100761,customer_id,unique,high,duplicate customer_id,3
customers,C103929,customer_id,unique,high,duplicate customer_id,3
customers,C104946,customer_id,unique,high,duplicate customer_id,3
customers,C100010,email,not_null,medium,email is missing,2
customers,C100021,email,not_null,medium,email is missing,2
customers,C100055,email,not_null,medium,email is missing,2
customers,C100136,email,not_null,medium,email is missing,2
customers,C100219,email,not_null,medium,email is missing,2
customers,C100225,email,not_null,medium,email is missing,2
customers,C100232,email,not_null,medium,email is missing,2
customers,C100255,email,not_null,medium,email is missing,2
customers,C100346,email,not_null,medium,email is missing,2
customers,C100363,email,not_null,medium,email is missing,2
customers,C100402,email,not_null,medium,email is missing,2
customers,C100405,email,not_null,medium,email is missing,2
customers,C100408,email,not_null,medium,email is missing,2
customers,C100470,email,not_null,medium,email is missing,2
customers,C100505,email,not_null,medium,email is missing,2
customers,C100533,email,not_null,medium,email is missing,2
customers,C100589,email,not_null,medium,email is missing,2
customers,C100702,email,not_null,medium,email is missing,2
customers,C100745,email,not_null,medium,email is missing,2
customers,C100757,email,not_null,medium,email is missing,2
customers,C100772,email,not_null,medium,email is missing,2
customers,C100798,email,not_null,medium,email is missing,2
customers,C100841,email,not_null,medium,email is missing,2
customers,C100869,email,not_null,medium,email is missing,2
customers,C100883,email,not_null,medium,email is missing,2
customers,C100892,email,not_null,medium,email is missing,2
customers,C100930,email,not_null,medium,email is missing,2
customers,C100970,email,not_null,medium,email is missing,2
customers,C100984,email,not_null,medium,email is missing,2
customers,C100987,email,not_null,medium,email is missing,2
customers,C100999,email,not_null,medium,email is missing,2
customers,C101001,email,not_null,medium,email is missing,2
customers,C101069,email,not_null,medium,email is missing,2
customers,C101071,email,not_null,medium,email is missing,2
customers,C101116,email,not_null,medium,email is missing,2
customers,C101151,email,not_null,medium,email is missing,2
customers,C100635,email,not_null,medium,email is missing,2
customers,C101200,email,not_null,medium,email is missing,2
customers,C101223,email,not_null,medium,email is missing,2
customers,C101242,email,not_null,medium,email is missing,2
customers,C101253,email,not_null,medium,email is missing,2
customers,C101268,email,not_null,medium,email is missing,2
customers,C101333,email,not_null,medium,email is missing,2
customers,C101375,email,not_null,medium,email is missing,2
customers,C101391,email,not_null,medium,email is missing,2
customers,C101426,email,not_null,medium,email is missing,2
customers,C101429,email,not_null,medium,email is missing,2
customers,C101494,email,not_null,medium,email is missing,2
customers,C101515,email,not_null,medium,email is missing,2
customers,C101578,email,not_null,medium,email is missing,2
customers,C101582,email,not_null,medium,email is missing,2
customers,C101587,email,not_null,medium,email is missing,2
customers,C101594,email,not_null,medium,email is missing,2
customers,C101623,email,not_null,medium,email is missing,2
customers,C101683,email,not_null,medium,email is missing,2
customers,C101739,email,not_null,medium,email is missing,2
customers,C101744,email,not_null,medium,email is missing,2
customers,C101748,email,not_null,medium,email is missing,2
customers,C101808,email,not_null,medium,email is missing,2
customers,C101839,email,not_null,medium,email is missing,2
customers,C101861,email,not_null,medium,email is missing,2
customers,C101910,email,not_null,medium,email is missing,2
customers,C101927,email,not_null,medium,email is missing,2
customers,C101954,email,not_null,medium,email is missing,2
customers,C101991,email,not_null,medium,email is missing,2
customers,C102004,email,not_null,medium,email is missing,2
customers,C102025,email,not_null,medium,email is missing,2
customers,C102051,email,not_null,medium,email is missing,2
customers,C102090,email,not_null,medium,email is missing,2
customers,C102107,email,not_null,medium,email is missing,2
customers,C102124,email,not_null,medium,email is missing,2
customers,C102158,email,not_null,medium,email is missing,2
customers,C102173,email,not_null,medium,email is missing,2
customers,C102200,email,not_null,medium,email is missing,2
customers,C102307,email,not_null,medium,email is missing,2
customers,C102310,email,not_null,medium,email is missing,2
customers,C102317,email,not_null,medium,email is missing,2
customers,C102340,email,not_null,medium,email is missing,2
customers,C102341,email,not_null,medium,email is missing,2
customers,C102342,email,not_null,medium,email is missing,2
customers,C102345,email,not_null,medium,email is missing,2
customers,C102353,email,not_null,medium,email is missing,2
customers,C102416,email,not_null,medium,email is missing,2
customers,C102466,email,not_null,medium,email is missing,2
customers,C102468,email,not_null,medium,email is missing,2
customers,C102469,email,not_null,medium,email is missing,2
customers,C102477,email,not_null,medium,email is missing,2
customers,C102497,email,not_null,medium,email is missing,2
customers,C102499,email,not_null,medium,email is missing,2
customers,C102512,email,not_null,medium,email is missing,2
customers,C102634,email,not_null,medium,email is missing,2
customers,C102637,email,not_null,medium,email is missing,2
customers,C102638,email,not_null,medium,email is missing,2
customers,C102661,email,not_null,medium,email is missing,2
customers,C102686,email,not_null,medium,email is missing,2
customers,C102690,email,not_null,medium,email is missing,2
customers,C102717,email,not_null,medium,email is missing,2
customers,C102738,email,not_null,medium,email is missing,2
customers,C102796,email,not_null,medium,email is missing,2
customers,C102836,email,not_null,medium,email is missing,2
customers,C103000,email,not_null,medium,email is missing,2
customers,C103027,email,not_null,medium,email is missing,2
customers,C103105,email,not_null,medium,email is missing,2
customers,C103133,email,not_null,medium,email is missing,2
customers,C103209,email,not_null,medium,email is missing,2
customers,C103253,email,not_null,medium,email is missing,2
customers,C103264,email,not_null,medium,email is missing,2
customers,C103270,email,not_null,medium,email is missing,2
customers,C103310,email,not_null,medium,email is missing,2
customers,C103313,email,not_null,medium,email is missing,2
customers,C103320,email,not_null,medium,email is missing,2
customers,C103378,email,not_null,medium,email is missing,2
customers,C103380,email,not_null,medium,email is missing,2
customers,C103414,email,not_null,medium,email is missing,2
customers,C103452,email,not_null,medium,email is missing,2
customers,C103489,email,not_null,medium,email is missing,2
customers,C103517,email,not_null,medium,email is missing,2
customers,C103539,email,not_null,medium,email is missing,2
customers,C103557,email,not_null,medium,email is missing,2
customers,C103571,email,not_null,medium,email is missing,2
customers,C103628,email,not_null,medium,email is missing,2
customers,C103637,email,not_null,medium,email is missing,2
customers,C103701,email,not_null,medium,email is missing,2
customers,C103734,email,not_null,medium,email is missing,2
customers,C103887,email,not_null,medium,email is missing,2
customers,C104146,email,not_null,medium,email is missing,2
customers,C104179,email,not_null,medium,email is missing,2
customers,C104197,email,not_null,medium,email is missing,2
customers,C104283,email,not_null,medium,email is missing,2
customers,C104287,email,not_null,medium,email is missing,2
customers,C104407,email,not_null,medium,email is missing,2
customers,C104494,email,not_null,medium,email is missing,2
customers,C104549,email,not_null,medium,email is missing,2
customers,C104575,email,not_null,medium,email is missing,2
customers,C104581,email,not_null,medium,email is missing,2
customers,C104601,email,not_null,medium,email is missing,2
customers,C104631,email,not_null,medium,email is missing,2
customers,C104665,email,not_null,medium,email is missing,2
customers,C104678,email,not_null,medium,email is missing,2
customers,C104702,email,not_null,medium,email is missing,2
customers,C104721,email,not_null,medium,email is missing,2
customers,C104744,email,not_null,medium,email is missing,2
customers,C104802,email,not_null,medium,email is missing,2
customers,C104880,email,not_null,medium,email is missing,2
customers,C104887,email,not_null,medium,email is missing,2
customers,C104910,email,not_null,medium,email is missing,2
customers,C104923,email,not_null,medium,email is missing,2
customers,C103929,email,not_null,medium,email is missing,2
customers,C104948,email,not_null,medium,email is missing,2
customers,C104996,email,not_null,medium,email is missing,2
customers,C100079,email,valid_email,medium,invalid email: not-an-email,2
customers,C100171,email,valid_email,medium,invalid email: not-an-email,2
customers,C100288,email,valid_email,medium,invalid email: not-an-email,2
customers,C100322,email,valid_email,medium,invalid email: not-an-email,2
customers,C100331,email,valid_email,medium,invalid email: not-an-email,2
customers,C100341,email,valid_email,medium,invalid email: not-an-email,2
customers,C100342,email,valid_email,medium,invalid email: not-an-email,2
customers,C100462,email,valid_email,medium,invalid email: not-an-email,2
customers,C100552,email,valid_email,medium,invalid email: not-an-email,2
customers,C100562,email,valid_email,medium,invalid email: not-an-email,2
customers,C100563,email,valid_email,medium,invalid email: not-an-email,2
customers,C100583,email,valid_email,medium,invalid email: not-an-email,2
customers,C100590,email,valid_email,medium,invalid email: not-an-email,2
customers,C100603,email,valid_email,medium,invalid email: not-an-email,2
customers,C100653,email,valid_email,medium,invalid email: not-an-email,2
customers,C100691,email,valid_email,medium,invalid email: not-an-email,2
customers,C100704,email,valid_email,medium,invalid email: not-an-email,2
customers,C100720,email,valid_email,medium,invalid email: not-an-email,2
customers,C100896,email,valid_email,medium,invalid email: not-an-email,2
customers,C100977,email,valid_email,medium,invalid email: not-an-email,2
customers,C100986,email,valid_email,medium,invalid email: not-an-email,2
customers,C101000,email,valid_email,medium,invalid email: not-an-email,2
customers,C101002,email,valid_email,medium,invalid email: not-an-email,2
customers,C101043,email,valid_email,medium,invalid email: not-an-email,2
customers,C101072,email,valid_email,medium,invalid email: not-an-email,2
customers,C101088,email,valid_email,medium,invalid email: not-an-email,2
customers,C101093,email,valid_email,medium,invalid email: not-an-email,2
customers,C101136,email,valid_email,medium,invalid email: not-an-email,2
customers,C101153,email,valid_email,medium,invalid email: not-an-email,2
customers,C101182,email,valid_email,medium,invalid email: not-an-email,2
customers,C101188,email,valid_email,medium,invalid email: not-an-email,2
customers,C101243,email,valid_email,medium,invalid email: not-an-email,2
customers,C101352,email,valid_email,medium,invalid email: not-an-email,2
customers,C101452,email,valid_email,medium,invalid email: not-an-email,2
customers,C101473,email,valid_email,medium,invalid email: not-an-email,2
customers,C101499,email,valid_email,medium,invalid email: not-an-email,2
customers,C101522,email,valid_email,medium,invalid email: not-an-email,2
customers,C101565,email,valid_email,medium,invalid email: not-an-email,2
customers,C101601,email,valid_email,medium,invalid email: not-an-email,2
customers,C101669,email,valid_email,medium,invalid email: not-an-email,2
customers,C101698,email,valid_email,medium,invalid email: not-an-email,2
customers,C101707,email,valid_email,medium,invalid email: not-an-email,2
customers,C101913,email,valid_email,medium,invalid email: not-an-email,2
customers,C101941,email,valid_email,medium,invalid email: not-an-email,2
customers,C102042,email,valid_email,medium,invalid email: not-an-email,2
customers,C102056,email,valid_email,medium,invalid email: not-an-email,2
customers,C104507,email,valid_email,medium,invalid email: not-an-email,2
customers,C102193,email,valid_email,medium,invalid email: not-an-email,2
customers,C102212,email,valid_email,medium,invalid email: not-an-email,2
customers,C102301,email,valid_email,medium,invalid email: not-an-email,2
customers,C102305,email,valid_email,medium,invalid email: not-an-email,2
customers,C102408,email,valid_email,medium,invalid email: not-an-email,2
customers,C102544,email,valid_email,medium,invalid email: not-an-email,2
customers,C102563,email,valid_email,medium,invalid email: not-an-email,2
customers,C102595,email,valid_email,medium,invalid email: not-an-email,2
customers,C102688,email,valid_email,medium,invalid email: not-an-email,2
customers,C102707,email,valid_email,medium,invalid email: not-an-email,2
customers,C102754,email,valid_email,medium,invalid email: not-an-email,2
customers,C102847,email,valid_email,medium,invalid email: not-an-email,2
customers,C102872,email,valid_email,medium,invalid email: not-an-email,2
customers,C102906,email,valid_email,medium,invalid email: not-an-email,2
customers,C102932,email,valid_email,medium,invalid email: not-an-email,2
customers,C103004,email,valid_email,medium,invalid email: not-an-email,2
customers,C103182,email,valid_email,medium,invalid email: not-an-email,2
customers,C103189,email,valid_email,medium,invalid email: not-an-email,2
customers,C103219,email,valid_email,medium,invalid email: not-an-email,2
customers,C103246,email,valid_email,medium,invalid email: not-an-email,2
customers,C103311,email,valid_email,medium,invalid email: not-an-email,2
customers,C103356,email,valid_email,medium,invalid email: not-an-email,2
customers,C103440,email,valid_email,medium,invalid email: not-an-email,2
customers,C103455,email,valid_email,medium,invalid email: not-an-email,2
customers,C103457,email,valid_email,medium,invalid email: not-an-email,2
customers,C103494,email,valid_email,medium,invalid email: not-an-email,2
customers,C103516,email,valid_email,medium,invalid email: not-an-email,2
customers,C103590,email,valid_email,medium,invalid email: not-an-email,2
customers,C103599,email,valid_email,medium,invalid email: not-an-email,2
customers,C103704,email,valid_email,medium,invalid email: not-an-email,2
customers,C103716,email,valid_email,medium,invalid email: not-an-email,2
customers,C103755,email,valid_email,medium,invalid email: not-an-email,2
customers,C103858,email,valid_email,medium,invalid email: not-an-email,2
customers,C103903,email,valid_email,medium,invalid email: not-an-email,2
customers,C104020,email,valid_email,medium,invalid email: not-an-email,2
customers,C104076,email,valid_email,medium,invalid email: not-an-email,2
customers,C104141,email,valid_email,medium,invalid email: not-an-email,2
customers,C104378,email,valid_email,medium,invalid email: not-an-email,2
customers,C104388,email,valid_email,medium,invalid email: not-an-email,2
customers,C104471,email,valid_email,medium,invalid email: not-an-email,2
customers,C104546,email,valid_email,medium,invalid email: not-an-email,2
customers,C104588,email,valid_email,medium,invalid email: not-an-email,2
customers,C104592,email,valid_email,medium,invalid email: not-an-email,2
customers,C104639,email,valid_email,medium,invalid email: not-an-email,2
customers,C104645,email,valid_email,medium,invalid email: not-an-email,2
customers,C104673,email,valid_email,medium,invalid email: not-an-email,2
customers,C104761,email,valid_email,medium,invalid email: not-an-email,2
customers,C104827,email,valid_email,medium,invalid email: not-an-email,2
customers,C104842,email,valid_email,medium,invalid email: not-an-email,2
customers,C104893,email,valid_email,medium,invalid email: not-an-email,2
customers,C104950,email,valid_email,medium,invalid email: not-an-email,2
customers,C104960,email,valid_email,medium,invalid email: not-an-email,2
customers,C104973,email,valid_email,medium,invalid email: not-an-email,2
customers,C100169,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100278,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100308,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100347,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100436,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100593,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100594,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100620,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100742,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100746,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100800,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100868,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101002,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100635,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101309,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101459,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101488,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101603,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101769,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101839,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101866,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C101968,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C102014,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C102429,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C102497,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C102667,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C102902,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C102979,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103046,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103262,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103344,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103477,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103543,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103637,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103705,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103814,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103931,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C103999,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104026,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104075,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104092,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104131,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104191,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104210,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104318,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104348,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104377,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104387,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104506,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C104797,signup_date,not_future,medium,future signup_date: 2026-02-13,2
customers,C100007,country,allowed_values,low,unexpected country: XX,1
customers,C100110,country,allowed_values,low,unexpected country: XX,1
customers,C100302,country,allowed_values,low,unexpected country: XX,1
customers,C100384,country,allowed_values,low,unexpected country: XX,1
customers,C100488,country,allowed_values,low,unexpected country: XX,1
customers,C100606,country,allowed_values,low,unexpected country: XX,1
customers,C100759,country,allowed_values,low,unexpected country: XX,1
