transaction_id,customer_id,transaction_date,amount,currency,channel
T500072,C104669,2025-05-08,9.46,USD,Mobile
T500073,C102248,2025-10-01,45.57,GBP,Partner
T500074,C100455,2025-12-25,110.77,USD,Store
T500075,C104456,2025-04-08,56.72,USD,Mobile
T500076,C102490,2025-10-10,70.0,CAD,Web
T500077,C100039,2025-05-22,105.63,USD,Mobile
T500078,C103069,2025-02-18,29.24,USD,Mobile
T500079,C103114,2026-01-28,83.98,USD,Store
T500080,C102079,2025-05-07,35.77,USD,Web
T500081,C104406,2025-07-18,87.72,USD,Mobile
T500082,C102373,2025-06-22,18.15,USD,Web
T500083,C101494,2025-03-10,10.45,USD,Web
T500084,C104574,2025-12-09,102.42,CAD,Mobile
T500085,C104596,2025-10-25,32.28,GBP,Mobile
T500086,C103924,2025-10-30,116.55,USD,Web
T500087,C101409,2025-03-06,33.66,USD,Web
T500088,C104279,2025-02-12,95.98,EUR,Web
T500089,C104188,2025-05-02,-53.22,USD,Mobile
T500090,C102886,2025-09-23,73.85,USD,Web
T500091,C103805,2025-10-08,92.26,EUR,Web
T500092,C104982,2025-11-01,55.34,GBP,Web
T500093,C101738,2025-07-18,101.75,USD,Mobile
T500094,C101324,2025-07-10,116.23,CAD,Mobile
T500095,C101717,2026-02-01,53.28,GBP,Mobile
T500096,C104125,2025-03-14,54.23,USD,Mobile
T500097,C104527,2025-04-21,0.5,USD,Web
T500098,C100218,2025-07-31,88.88,USD,Web
T500099,C101956,2025-04-16,79.56,USD,Mobile
T500100,C104591,2025-05-14,19.22,USD,Store
T500101,C104727,2025-06-28,0.5,USD,Web
T500102,C103998,2025-11-18,130.07,USD,Mobile
T500103,C100642,2025-06-08,92.48,USD,Web
T500104,C101951,2026-01-23,3.24,USD,Web
T500105,C102507,2025-10-09,0.5,USD,Web
T500106,C104334,2025-05-24,81.53,USD,Mobile
T500107,C101036,2025-03-13,70.92,CAD,Web
T500108,C101010,2025-05-22,22.64,USD,Store
T500109,C102074,2025-02-26,92.86,USD,Web
T500110,C101305,2025-08-17,7.24,USD,Web
T500111,C100354,2025-11-21,14.42,USD,Web
T500112,C100712,2025-08-04,104.22,USD,Mobile
T500113,C100985,2025-03-03,20.93,USD,Web
T500114,C104252,2025-05-04,57.62,USD,Web
T500115,C104690,2025-03-21,97.19,USD,Mobile
T500116,C101747,2025-09-27,68.39,EUR,Web
T500117,C102741,2025-04-04,56.23,USD,Web
T500118,C103036,2025-12-18,54.57,USD,Mobile
T500119,C100123,2026-01-31,105.4,CAD,Store
T500120,C104838,2025-06-29,143.95,USD,Web
T500121,C102607,2025-07-09,52.55,USD,Store
T500122,C103094,2025-05-26,36.62,USD,Web
T500123,C100875,,69.28,CAD,Web
T500124,C104238,2025-11-29,14.15,USD,Mobile
T500125,C101637,2025-08-08,37.28,GBP,Web
T500126,C102948,2025-03-13,-88.51,USD,Mobile
T500127,C104304,2025-12-05,0.0,USD,Web
T500128,C104169,2025-03-12,114.97,USD,Mobile
T500129,C104313,2025-09-09,92.94,USD,Web
T500130,C104932,2026-01-01,128.17,USD,Mobile
T500131,C101593,2025-12-29,61.1,EUR,Web
T500132,C104267,2026-01-26,94.82,USD,Web
T500133,C103207,2025-11-23,0.5,USD,Web
T500134,C101291,2025-05-16,73.24,CAD,Web
T500135,C101509,2026-01-22,87.0,USD,Mobile
T500136,C100832,2026-01-31,127.49,USD,Web
T500137,C103203,2025-02-28,35.79,USD,Mobile
T500138,C104772,2025-10-31,74.08,USD,Web
T500139,C104950,2025-12-18,101.35,USD,Partner
T500140,C100925,2025-06-26,22.98,USD,Partner
T500141,C102704,2026-02-01,86.18,USD,Web
T500142,C104287,2026-01-16,71.4,USD,Partner
T500143,C103296,2025-07-11,86.96,USD,Mobile
T500144,C102361,2025-11-20,40.24,USD,Web
T500145,C100210,2025-08-30,166.54,USD,Store
T500146,C103979,2025-07-13,0.5,USD,Web
T500147,C101716,2026-01-22,7.73,USD,Mobile
T500148,C102114,2026-02-10,92.66,USD,Web
T500149,C100057,2025-12-24,98.15,USD,Mobile
T500150,C104599,2026-01-27,64.57,USD,Partner
T500151,C104357,2025-07-17,40.54,USD,Mobile
T500152,C100044,2026-01-20,183.33,USD,Mobile
T500153,C103929,2025-12-21,23.87,GBP,Mobile
T500154,C103583,2026-01-27,98.52,EUR,Web
T500155,C100822,2025-07-20,18.0,USD,Web
T500156,C103758,2025-05-24,71.77,USD,Mobile
T500157,C104274,2025-02-21,52.53,USD,Mobile
T500158,C999999,2026-01-04,60.29,USD,Mobile
T500159,C103116,2025-08-20,51.58,USD,Web
T500160,C103985,2025-11-14,102.31,EUR,Mobile
T500161,C101666,2026-01-20,17.26,USD,Mobile
T500162,C103040,2026-01-22,45.43,CAD,Web
T500163,C104659,2025-11-08,14.65,USD,Mobile
T500164,C102894,2025-08-22,33.33,USD,Web
T500165,C104379,2025-05-24,19.1,USD,Web
T500166,C102752,2025-05-03,55.45,USD,Web
T500167,C102686,2025-03-23,153.88,USD,Web
T500168,C104946,2026-01-29,23.78,USD,Web
T500169,C101750,2025-12-26,120.38,USD,Web
T500170,C100019,2026-01-26,101.48,USD,Web
T500171,C100951,2025-08-14,96.82,GBP,Web
T500172,C101216,2025-09-02,72.85,USD,Mobile
T500173,C100476,2025-06-18,111.6,EUR,Web
T500174,C100307,2025-11-03,102.58,EUR,Web
T500175,C101006,2025-04-13,50.43,USD,Web
T500176,C103243,2025-04-23,0.5,USD,Web
T500177,C103066,2025-04-16,-0.5,USD,Mobile
T500178,C103408,2025-11-12,54.66,USD,Web
T500179,C100092,2025-06-26,62.92,CAD,Store
T500180,C102171,2025-10-08,0.5,EUR,Mobile
T500181,C102552,2026-01-30,22.82,USD,Mobile
T500182,C102718,2025-12-10,64.89,GBP,Web
T500183,C102765,2025-11-13,97.23,USD,Mobile
T500184,C100842,2025-08-25,133.4,USD,Store
T500185,C104452,2025-12-13,41.73,USD,Web
T500186,C104697,2025-09-21,75.75,USD,Web
T500187,C102280,2025-05-21,124.84,USD,Web
T500188,C103277,2025-12-18,154.71,EUR,Web
T500189,C101682,2025-05-30,75.24,GBP,Web
T500190,C103030,2025-05-05,111.2,USD,Mobile
T500191,C102170,2025-04-29,43.13,USD,Web
T500192,C101999,2025-05-10,123.84,USD,Web
T500193,C104197,2025-05-05,63.57,USD,Store
T500194,C100746,2025-10-08,57.97,USD,Mobile
T500195,C101311,2025-05-06,55.3,USD,Mobile
T500196,C100241,2025-03-20,51.54,USD,Mobile
T500197,C101583,2025-10-14,57.14,USD,Web
T500198,C102968,2025-03-01,116.77,USD,Mobile
T500199,C103045,2026-01-08,78.08,USD,Partner
T500200,C103463,2025-11-05,86.8,USD,Store
T500201,C102508,2025-04-30,86.09,USD,Store
T500202,C104982,2025-03-19,51.09,USD,Mobile
T500203,C100476,2025-06-15,59.48,USD,Web
T500204,C102061,2026-01-30,15.51,USD,Mobile
T500205,C102136,2026-01-19,44.32,USD,Web
T500206,C104035,2025-12-29,83.31,USD,Mobile
T500207,C102990,2025-06-20,58.43,USD,Store
T500208,C100594,2025-05-28,46.75,USD,Web
T500209,C101224,2025-10-28,86.4,USD,Store
T500210,C101808,2026-01-19,61.58,GBP,Mobile
T500211,C101583,2025-04-13,95.48,USD,Web
T500212,C104156,2025-09-12,17.64,CAD,Web
T500213,C100624,2025-11-28,0.5,USD,Store
T500214,C104550,2025-09-29,79.44,USD,Web
T500215,C104481,2026-01-20,46.43,USD,Mobile
T500216,C101357,2025-12-08,146.45,XXX,Mobile
T500217,C100976,2025-02-07,0.5,GBP,Mobile
T500218,C102849,2025-12-29,79.8,GBP,Store
T500219,C100768,2025-09-21,77.06,CAD,Web
T500220,C102395,2025-07-23,71.91,USD,Web
T500221,C101722,2026-02-10,46.32,USD,Web
T500222,C103449,2025-03-09,42.26,USD,Mobile
T500223,C104682,2025-11-07,20.71,USD,Store
T500224,C101825,2025-06-17,41.45,USD,Web
T500225,C100512,2025-02-04,66.44,USD,Web
T500226,C104765,2025-10-06,54.39,USD,Web
T500227,C104979,2025-08-23,114.4,USD,Store
T500228,C101622,2026-01-11,86.99,USD,Mobile
T500229,C102767,2025-07-13,102.43,USD,Mobile
T500230,C102074,2026-01-02,60.72,USD,Mobile
T500231,C104464,2025-08-11,20.96,CAD,Store
T500232,C101034,2025-10-20,46.52,USD,Store
T500233,C100114,2025-04-12,72.83,CAD,Partner
T500234,C103940,2025-06-15,0.5,USD,Mobile
T500235,C102826,2026-01-11,35.5,USD,Store
T500236,C100784,2025-06-19,46.67,EUR,Web
T500237,C102418,2025-07-31,-23.34,CAD,Store
T500238,C103483,2025-03-13,58.04,USD,Web
T500239,C101476,2025-12-14,57.81,EUR,Partner
T500240,C104092,2025-05-28,120.2,USD,Store
T500241,C104544,2025-05-28,25.63,USD,Web
T500242,C103507,2025-03-25,58.92,USD,Web
T500243,C104991,2025-02-11,139.17,USD,Web
T500244,C102789,2025-09-13,49.68,USD,Mobile
T500245,C101374,2025-05-13,120.31,USD,Web
T500246,C102886,2025-04-29,150.32,GBP,Partner
T500247,C100195,2026-01-06,69.01,GBP,Web
T500248,C104798,2025-09-08,-0.5,CAD,Web
T500249,C103936,2026-01-02,74.96,USD,Store
T500250,C101888,2025-11-10,62.66,USD,Web
T500251,C103507,2025-05-16,138.79,USD,Mobile
T500252,C102608,2025-03-11,76.51,USD,Mobile
T500253,C101955,2025-11-01,118.24,EUR,Web
T500254,C102915,2025-04-06,35.63,USD,Store
T500255,C104226,2025-11-03,11.74,CAD,Web
T500256,C103615,2025-02-03,34.54,USD,Web
T500257,C104964,2025-11-19,92.21,EUR,Store
T500258,C101517,2025-03-21,115.49,USD,Web
T500259,C101983,2025-05-02,139.53,USD,Web
T500260,C100614,2025-06-27,68.41,USD,Mobile
T500261,C103768,2025-06-16,68.12,USD,Mobile
T500262,C104800,2025-07-22,107.49,USD,Mobile
T500263,C103596,2025-11-15,72.6,USD,Web
T500264,C102307,2026-02-10,114.63,USD,Web
T500265,C102142,2025-10-13,64.32,USD,Web
T500266,C101699,2025-11-03,120.18,USD,Web
T500267,C100039,2025-05-28,86.61,EUR,Mobile
T500268,C102473,2025-08-24,63.61,CAD,Web
T500269,C100155,2025-11-13,54.28,USD,Web
T500270,C104624,2025-07-27,84.75,GBP,Web
T500271,C104531,2025-05-14,104.61,USD,Mobile
T500272,C103844,2025-12-10,39.98,USD,Web
T500273,C104844,2025-03-16,37.15,GBP,Web
T500274,C102016,2025-12-07,54.34,USD,Web
T500275,C103417,2025-05-11,34.95,USD,Store
T500276,C102000,2025-12-02,0.5,EUR,Web
T500277,C101661,2025-06-07,87.05,CAD,Mobile
T512612,C104325,2025-04-19,189.03,USD,Partner
T500279,C103610,2025-02-18,85.17,USD,Web
T500280,C101255,2026-01-14,37.24,USD,Store
T500281,C103217,2025-03-25,45.53,USD,Store
T500282,C101829,2025-08-27,109.67,EUR,Web
T500283,C101364,2026-01-11,81.17,USD,Store
T500284,C102019,2025-07-08,39.89,USD,Mobile
T500285,C103696,2025-09-27,108.04,USD,Web
T500286,C104238,2025-12-31,62.26,USD,Mobile
T500287,C102762,2025-04-27,60.68,USD,Mobile
T500288,C104188,2026-01-23,0.5,USD,Store
T500289,C101136,2025-12-26,72.41,USD,Store
T500290,C102304,2025-07-02,102.36,EUR,Web
T500291,C102856,2025-05-06,93.66,USD,Store
T500292,C101634,2025-05-28,83.31,USD,Store
T500293,C100292,2025-08-07,69.08,USD,Web
T500294,C104502,2025-04-01,106.06,USD,Store
T500295,C104681,2026-01-22,21.02,GBP,Web
T500296,C104370,2025-12-02,19.08,USD,Web
T500297,C103787,2025-04-30,49.63,USD,Web
T500298,C103969,2025-09-18,85.49,GBP,Mobile
T500299,C101620,2025-12-14,73.19,USD,Web
T500300,C103674,2025-05-06,88.19,USD,Partner
T500301,C104259,2025-11-09,108.78,CAD,Web
T500302,C100071,2025-11-30,102.26,CAD,Web
T500303,C104604,2025-05-18,37.58,EUR,Mobile
T500304,C100985,2025-06-17,58.72,USD,Web
T500305,C100451,2025-09-07,114.91,USD,Mobile
T500306,C104098,2025-10-09,71.65,USD,Web
T500307,C102919,2025-03-12,123.3,USD,Web
T500308,C103694,2025-02-19,104.52,USD,Mobile
T500309,C104540,2025-10-14,40.76,USD,Mobile
T500310,C102069,2025-08-04,43.23,USD,Mobile
T500311,C101012,2026-01-26,121.42,USD,Mobile
T500312,C104161,2025-10-09,40.04,GBP,Partner
T500313,C104570,2025-04-18,95.45,USD,Web
T500314,C102017,2026-02-02,127.08,USD,Web
T500315,C103182,2025-10-16,59.98,USD,Mobile
T500316,C103723,2025-06-14,19.92,USD,Store
T500317,C100500,2025-08-01,7.57,GBP,Web
T500318,C102077,2025-02-26,61.18,USD,Web
T500319,C104418,2025-03-19,37.13,USD,Mobile
T500320,C102804,2025-09-04,30.54,USD,Web
T500321,C101390,2025-04-24,85.44,USD,Web
T500322,C104938,2025-10-16,52.75,USD,Partner
T500323,C100891,2025-07-15,0.5,USD,Mobile
T500324,C100419,2025-09-19,49.94,USD,Store
T500325,C102649,2025-06-24,116.1,USD,Web
T500326,C101681,2025-06-02,116.17,USD,Web
T500327,C100893,2025-02-26,14.85,USD,Web
T500328,C103093,2025-07-12,46.91,CAD,Web
T500329,C100616,2026-01-06,24.59,USD,Web
T500330,C102137,2025-03-28,76.03,USD,Web
T500331,C101931,2025-05-28,107.81,GBP,Web
T500332,C104431,2025-03-09,75.23,USD,Store
T500333,C103754,2025-09-12,48.18,EUR,Web
T500334,C103881,2025-06-10,79.06,USD,Partner
T500335,C102273,2025-06-20,60.63,CAD,Store
T500336,C102860,2025-04-11,84.35,EUR,Mobile
T500337,C104588,2025-12-26,38.03,USD,Web
T500338,C101712,2025-08-17,72.41,USD,Store
T500339,C102169,2025-03-05,23.44,USD,Mobile
T500340,C102455,2025-08-09,-86.47,USD,Mobile
T500341,C100503,2025-06-29,6.17,USD,Mobile
T500342,C102036,2025-10-08,78.87,GBP,Mobile
T500343,C102107,2026-01-23,79.7,USD,Web
T500344,C101097,2025-07-02,65.51,USD,Store
T500345,C999999,2025-06-11,93.19,GBP,Web
T500346,C103691,2025-12-01,66.81,USD,Web
T500347,C103161,2025-03-27,112.59,CAD,Web
T500348,C100006,2026-02-02,0.5,USD,Web
T500349,C102997,2025-08-02,78.98,USD,Web
T500350,C101043,2025-05-05,8.47,USD,Web
T500351,C104710,2025-07-28,54.57,USD,Web
T500352,C100624,2025-10-23,103.27,GBP,Web
T500353,C103447,2026-01-30,48.34,USD,Web
T515530,C103868,2026-01-07,0.5,USD,Web
T500355,C103538,2025-12-02,0.5,USD,Mobile
T500356,C100848,2025-09-10,5.5,USD,Mobile
T500357,C103425,2025-02-14,74.67,USD,Mobile
T500358,C104557,2025-08-20,80.93,USD,Mobile
T500359,C101084,2025-05-30,-88.66,USD,Mobile
T500360,C101830,2025-06-29,81.09,USD,Web
T500361,C101261,2025-09-26,80.96,EUR,Web
T500362,C101000,2026-01-06,56.87,USD,Web
T500363,C100099,2025-02-25,86.75,CAD,Web
T500364,C103985,2025-10-11,57.68,USD,Store
T500365,C102348,2025-10-17,65.58,USD,Web
T500366,C101369,2025-06-27,38.89,USD,Mobile
T500367,C104079,2025-02-18,58.69,GBP,Web
T500368,C103525,2025-07-11,0.5,USD,Mobile
T500369,C103206,2025-02-21,0.5,EUR,Mobile
T500370,C104550,2026-01-01,143.32,USD,Mobile
T500371,C104465,2025-07-18,65.85,EUR,Partner
T500372,C100335,2025-02-07,76.55,USD,Mobile
T500373,C104841,2025-03-23,51.54,USD,Mobile
T500374,C103037,2025-12-22,83.88,USD,Store
T500375,C101571,2025-03-04,-66.34,EUR,Store
T500376,C104821,2025-05-18,85.74,USD,Web
T500377,C101089,2025-10-27,78.73,EUR,Mobile
T500378,C102914,2025-06-01,-39.98,EUR,Mobile
T500379,C101798,2025-11-18,115.25,USD,Store
T500380,C103958,2025-03-31,97.92,USD,Web
T500381,C100324,2025-05-20,84.5,USD,Web
T500382,C100434,2025-02-15,36.73,USD,Mobile
T500383,C102115,2025-11-01,11.43,USD,Web
T500384,C100157,2025-08-09,21.72,EUR,Mobile
T500385,C102583,2025-07-05,55.69,USD,Web
T500386,C103646,2025-03-04,128.94,EUR,Web
T500387,C101345,2026-01-13,120.75,USD,Web
T500388,C101205,2025-06-19,116.62,USD,Web
T500389,C103242,2025-12-13,31.51,USD,Mobile
T500390,C103887,2025-07-22,86.49,USD,Web
T500391,C103942,2025-05-28,39.3,EUR,Partner
T500392,C103222,2025-09-13,50.61,USD,Mobile
T500393,C103870,2025-09-20,82.09,USD,Mobile
T500394,C100991,2026-01-07,123.43,USD,Store
T500395,C103607,2026-01-22,7.97,USD,Mobile
T500396,C104439,2025-07-06,32.02,USD,Web
T500397,C103681,2025-09-22,0.0,CAD,Web
T500398,C101711,2025-06-04,6.65,USD,Web
T500399,C101797,2025-04-10,54.04,EUR,Mobile
T500400,C999999,2025-12-28,86.08,CAD,Mobile
T500401,C104930,2025-04-02,33.21,USD,Web
T500402,C103562,2025-12-06,15.93,USD,Mobile
T500403,C104191,2026-01-13,57.47,USD,Store
T500404,C103688,2025-12-15,13.78,XXX,Mobile
T500405,C103212,2025-04-23,33.12,USD,Store
T500406,C100725,2025-06-14,77.43,USD,Web
T500407,C104466,2025-12-04,0.5,USD,Web
T500408,C102181,2025-12-19,100.64,USD,Web
T500409,C104967,2025-08-22,15.1,CAD,Mobile
T500410,C103230,2025-03-31,129.72,USD,Store
T500411,C100077,2026-01-10,172.52,USD,Web
T500412,C100568,2025-06-28,45.11,EUR,Web
T500413,C102696,2025-12-17,36.95,USD,Mobile
T500414,C102883,2025-09-05,37.23,EUR,Mobile
T500415,C104321,2025-08-04,89.24,USD,Mobile
T500416,C101969,2025-03-13,109.61,EUR,Web
T500417,C103828,2025-11-10,45.47,CAD,Mobile
T500418,C103630,2025-05-02,126.25,USD,Mobile
T500419,C100906,2025-10-09,52.46,USD,Web
T500420,C104857,2025-09-12,45.01,USD,Web
T500421,C100996,2025-07-06,105.31,USD,Mobile
T500422,C102651,2025-05-27,36.04,USD,Web
T500423,C104584,2025-09-20,8.5,USD,Web
T500424,C102655,2025-08-24,21.03,USD,Mobile
T500425,C104389,2025-02-23,32.04,USD,Web
T500426,C999999,2025-11-15,0.5,USD,Web
T500427,C104746,2026-01-16,-19.66,USD,Web
T500428,C100685,2025-03-07,61.39,USD,Mobile
T500429,C103731,2025-07-10,59.43,CAD,Mobile
T500430,C103083,2025-09-17,85.77,USD,Mobile
T500431,C104692,2025-07-08,70.46,USD,Web
T500432,C104786,2025-09-29,62.61,EUR,Store
T500433,C101822,2025-02-25,58.99,USD,Web
T500434,C101378,2025-12-28,62.57,USD,Web
T500435,C101888,2025-12-30,70.25,USD,Web
T500436,C104017,2025-10-19,41.91,USD,Web
T500437,C101386,2025-11-18,92.32,CAD,Web
T500438,C104156,2025-05-17,63.29,XXX,Mobile
T500439,C104590,2025-10-12,35.29,USD,Web
T500440,C102886,2025-07-26,59.86,USD,Mobile
T500441,C104318,2025-02-18,62.96,CAD,Web
T500442,C103819,2025-10-03,0.5,USD,Store
T500443,C103248,2026-01-30,118.72,USD,Web
T500444,C103008,2025-04-13,140.84,USD,Mobile
T500445,C100346,2025-05-10,39.15,USD,Store
T500446,C100028,2025-07-29,137.41,USD,Web
T500447,C101182,2025-07-03,70.08,EUR,Mobile
T500448,C102257,2025-04-21,92.61,USD,Web
T500449,C101777,2025-06-21,133.74,CAD,Store
T500450,C104545,2025-03-06,122.02,GBP,Web
T500451,C100491,2025-11-11,101.2,USD,Store
T500452,C102825,2025-09-07,110.51,USD,Mobile
T500453,C101985,2025-03-26,28.83,USD,Web
T500454,C100246,2025-05-15,86.83,USD,Web
T500455,C103078,2026-01-31,131.38,USD,Mobile
T500456,C102202,2025-03-03,103.89,USD,Store
T500457,C103719,2025-09-13,161.62,USD,Web
T500458,C103059,2025-10-04,0.5,USD,Web
T500459,C102373,2026-02-02,0.0,USD,Web
T500460,C100759,2025-10-13,34.53,USD,Mobile
T500461,C100015,2025-09-02,106.76,USD,Web
T500462,C104677,2025-02-20,58.71,USD,Web
T500463,C103491,2025-10-06,68.55,CAD,Web
T500464,C103830,2025-03-17,83.18,USD,Mobile
T500465,C100533,2025-05-13,128.38,USD,Partner
T500466,C104102,2025-07-19,38.22,CAD,Web
T500467,C101787,2025-06-25,46.01,USD,Web
T500468,C104372,2025-06-04,85.5,USD,Web
T500469,C103010,2025-12-25,96.73,USD,Mobile
T500470,C101867,2025-05-26,49.7,USD,Web
T500471,C100515,2025-07-30,153.87,USD,Web
T500472,C102035,2026-01-11,52.69,USD,Store
T500473,C101113,2025-09-23,0.5,CAD,Web
T500474,C102334,2025-02-12,90.18,USD,Mobile
T500475,C101192,2025-11-09,120.65,USD,Web
T500476,C104135,2025-04-13,107.18,USD,Store
T500477,C100997,2025-08-15,58.52,USD,Mobile
T500478,C100134,2025-02-22,76.18,EUR,Mobile
T500479,C101057,2025-11-17,44.97,USD,Web
T500480,C100891,2025-07-18,143.2,USD,Mobile
T500481,C102433,2025-08-25,73.8,USD,Mobile
T500482,C103527,2025-03-04,80.38,USD,Store
T500483,C101844,2025-10-06,105.88,USD,Web
T500484,C101416,2025-08-19,74.82,USD,Mobile
T500485,C104883,2025-03-30,53.84,EUR,Mobile
T500486,C101761,2025-08-03,89.06,CAD,Web
T500487,C103558,2025-07-07,22.86,USD,Store
T500488,C103748,2025-07-15,53.09,USD,Store
T500489,C103025,2025-11-04,104.35,CAD,Store
T500490,C103210,2025-03-13,1.59,CAD,Store
T500491,C101720,2025-02-09,82.25,USD,Mobile
T500492,C100734,2025-02-17,89.04,USD,Web
T500493,C104374,2025-10-31,122.14,USD,Web
T500494,C104285,2025-09-11,135.9,USD,Web
T500495,C104033,2025-05-15,47.77,USD,Web
T500496,C104767,2025-04-08,32.37,CAD,Web
T500497,C101522,2026-01-20,60.25,GBP,Web
T500498,C104468,2025-10-23,120.8,EUR,Mobile
T500499,C101736,2025-05-14,27.12,USD,Web
T500500,C103349,2025-10-07,78.11,USD,Store
T500501,C102331,2025-12-10,25.36,USD,Store
T500502,C102369,2025-04-09,0.5,USD,Web
T500503,C100043,2026-01-03,24.18,CAD,Web
T500504,C104000,2025-02-26,84.15,GBP,Web
T500505,C102557,2025-10-14,56.77,EUR,Store
T500506,C104333,2025-04-20,56.67,USD,Store
T500507,C104232,2025-10-30,33.17,CAD,Store
T500508,C104348,2026-01-03,96.53,EUR,Mobile
T500509,C100568,2025-11-24,64.19,USD,Store
T500510,C100882,2025-12-08,73.35,USD,Web
T500511,C104060,2025-12-24,42.65,USD,Mobile
T500512,C104440,2025-07-27,0.5,USD,Mobile
T500513,C103127,2025-10-17,0.5,USD,Web
T500514,C100451,2025-06-23,99.55,CAD,Web
T500515,C103801,2025-06-29,48.31,USD,Web
T500516,C103846,2025-03-25,124.06,CAD,Mobile
T500517,C103186,2025-04-05,131.11,USD,Store
T500518,C104786,2025-02-17,61.71,USD,Mobile
T500519,C101098,2025-08-11,21.67,USD,Mobile
T500520,C100122,2026-01-22,87.06,CAD,Web
T500521,C101189,2025-11-19,0.5,EUR,Web
T500522,C101835,2025-12-19,44.34,EUR,Web
T500523,C102651,2025-05-26,69.64,USD,Web
T500524,C102092,2025-05-15,5.87,USD,Store
T500525,C103994,2025-10-28,30.55,USD,Mobile
T500526,C100925,2025-10-15,84.48,USD,Mobile
T500527,C100292,2025-04-28,22.21,USD,Mobile
T500528,C102821,2025-06-25,109.0,EUR,Web
T500529,C102061,2025-04-25,40.51,USD,Partner
T500530,C102248,2025-06-27,35.06,EUR,Web
T500531,C104807,2025-05-13,34.45,USD,Mobile
T500532,C104904,2025-11-20,83.94,USD,Mobile
T500533,C103991,2025-04-15,39.91,XXX,Mobile
T500534,C100735,2025-07-26,21.99,USD,Web
T500535,C100977,2025-06-04,84.34,USD,Web
T500536,C103339,2025-07-30,95.01,GBP,Web
